gamma,g,c,l,I,m,M,stable,qstar_1,qstar_2,qstar_3,qstar_4
1,0.5,0.02,1,0.5,1,0.00076007600760076,0,0.0897911582208974,-0.136467716117715,-0.181064857171104,0.00649436205890264
1,0.5,0.02,1,0.5,1,0.00078007800780078,0,0.08948966003841,-0.135980694180204,-0.18027421456238,0.00637527033898021
1,0.5,0.02,1,0.5,1,0.0008000800080008,0,0.0898639398987336,-0.136507817450507,-0.181066545496555,0.00650423627551993
1,0.5,0.02,1,0.5,1,0.00082008200820082,0,0.0901865685736852,-0.136981476182969,-0.181890297039486,0.00667009172412
1,0.5,0.02,1,0.5,1,0.00084008400840084,0,0.090563598679519,-0.137510301608214,-0.182666805254888,0.00677991843240307
1,0.5,0.02,1,0.5,1,0.00086008600860086,0,0.0908720386170107,-0.137937355182841,-0.183292758997917,0.00687141352549313
1,0.5,0.02,1,0.5,1,0.00088008800880088,0,0.0909824079197413,-0.138075399878538,-0.183509552872622,0.00691643838620014
1,0.5,0.02,1,0.5,1,0.0009000900090009,0,0.0910661667266766,-0.138174749133892,-0.183671719864508,0.00695472805549965
1,0.5,0.02,1,0.5,1,0.00092009200920092,0,0.0903056421400866,-0.13700171018874,-0.18187017091926,0.00676048540539709
1,0.5,0.02,1,0.5,1,0.00094009400940094,0,0.090670904059134,-0.137513546824038,-0.182624834851815,0.00687061864875578
1,0.5,0.02,1,0.5,1,0.00096009600960096,0,0.091030107750014,-0.138016915575208,-0.183368260540942,0.00697691378280954
1,0.5,0.02,1,0.5,1,0.00098009800980098,0,0.0972617195243506,-0.143201641438534,-0.194596593563729,0.0134967786773398
1,0.5,0.02,1,0.5,1,0.001000100010001,0,0.0975999186729623,-0.143741859487601,-0.195356182124654,0.013612644130047
1,0.5,0.02,1,0.5,1,0.00102010201020102,0,0.0979357648637416,-0.144278100404876,-0.196110172961061,0.0137280991063284
1,0.5,0.02,1,0.5,1,0.00104010401040104,0,0.0982691766559684,-0.144810278814556,-0.196858502951057,0.0138429693547506
1,0.5,0.02,1,0.5,1,0.00106010601060106,0,0.0985998815757211,-0.145338209308306,-0.197601259651753,0.0139568798541019
1,0.5,0.02,1,0.5,1,0.00108010801080108,0,0.098928285925582,-0.145862279357638,-0.198338612902515,0.0140702988186446
1,0.5,0.02,1,0.5,1,0.0011001100110011,0,0.0992542417377265,-0.146382402742587,-0.199070651410105,0.0141829729552594
1,0.5,0.02,1,0.5,1,0.00112011201120112,0,0.0951019186977006,-0.143611857398227,-0.193218325408735,0.011943336919255
1,0.5,0.02,1,0.5,1,0.00114011401140114,0,0.0954680283302414,-0.144146555631506,-0.193999890184033,0.0118977187836891
1,0.5,0.02,1,0.5,1,0.00116011601160116,0,0.0958076667166434,-0.144696701748884,-0.194808468416898,0.0115259306521897
1,0.5,0.02,1,0.5,1,0.00118011801180118,0,0.0961789819692913,-0.145219546174887,-0.195566537927353,0.0115839645887749
